QueryID,duckdb_Estimate
1,1458161.924
2,4776318.406
3,27073347.955
4,2554033.37
5,15630168.048
6,41642737.061
7,43021.436304
8,5199495.656
9,5315345.19
10,24270960.792
11,57128.9088
12,8692038.803000001
13,8692038.803000001
14,15176655.439
15,4101315.940547
16,7484895.457950001
17,34424991.0273
18,59982578.816800006
19,25063361.24094
20,1817833.6436
21,337900.36354
22,15854675.0103
23,1536523.122854
24,36032145.776329
25,85861405.04397
26,795010.096
27,18189.942999000003
28,851422.8265575999
29,3690649.070235
30,55332.864
31,10111.45728
