QueryID,panda_Estimate
1,10436516.00
2,425249420.00
3,8011288800.00
4,18095720.00
5,1394557680.00
6,7876162130.00
7,5870273833908.00
8,258929593536.00
9,125530931736.00
10,1651722786.00
11,1522647720.00
12,5578230720.00
13,5578230720.00
14,32045155200.00
15,53889012080640.10
16,56267302256720.40
17,740359240219.99
18,103315954080.00
19,184522293986881.00
20,15752324260.00
21,4472016353639.96
22,3012244588800.01
23,1506122294399.99
24,99642038752915500.00
25,55790615203200.20
26,63009297040.00
27,8944032707279.96
28,6024489177599.99
29,111581230406399.00
30,16198380.00
31,4240855872.00
