QueryID,bayescard_Estimate
1,3536.083801
2,1.913531466
3,13.74855349
4,5.590748645
5,132565.4057
6,59273358.26
7,14209447.42
8,155563445
9,894439.0253
10,237098.7919
11,1913835.618
12,8824564.452
13,2439552.494
14,19101343.96
15,3033.036923
16,10909.73787
17,4.864114299
18,23427.352
19,112115590.3
20,4531232.568
21,694590.4723
22,21440293.96
23,15469079.12
24,4801084.59
25,618062.4482
26,5617648.337
27,1578261.237
28,9854782.126
29,3197299.795
30,55626029.33
31,6613.255156
32,16807.84572
33,30606068.39
34,89315.37937
35,903.6584731
36,352184.4589
37,1938074.92
38,202938.9676
39,2849805.877
40,1041765.795
41,275108669.8
42,96055601.39
43,420276628.1
44,8251602.963
45,2838727.227
46,2991403.177
47,35712659.98
48,18961487.48
49,156006545.0
50,70752380.4
51,152743774.7
52,85229427.33
53,930569.0224
54,847744.7051
55,1842267.474
56,5293900.743
57,3715132.363
58,744234256.3
59,259533.0751
60,6727349925
61,2310145057
62,26028680.62
63,62693931.87
64,37007120.03
65,57372.10444
66,17564247.25
67,10148849.18
68,2569961.066
69,1217999.584
70,425386424.5
