QueryID,truecardinality_Estimate
1,75
2,33
3,2
4,62
5,32
6,17
7,912
8,4401
9,1
10,52
11,134
12,2
13,75
14,27
15,515
16,1103
17,106
18,363
19,7
20,1
21,1051
22,21
23,1146
24,86
25,308
26,99
27,26
28,2
29,123
30,1
31,7
32,31
33,68
34,40
35,1
36,1303
37,146
38,1
39,2
40,295
41,27
42,2
43,4
44,2
45,455
46,17
47,879
48,21
49,2
50,13
51,11
52,6
53,1277
54,16
55,44
56,61
57,14
58,789
59,8
60,193
61,87
62,6
63,115
64,11
65,310
66,45
67,561
68,66
69,111
70,23
71,969
72,1150
73,1427
74,25
75,75
76,4
77,54
78,81
79,162
80,433
81,164
82,842
83,794
84,18
85,2991
86,19
87,105
88,121
89,26
90,8
91,13
92,114
93,28
94,56
95,29
96,697
97,16
98,17
99,23
100,25
101,56
102,21
103,209
104,199
105,766
106,2
107,3
108,128
109,20
110,165
111,18
112,68
113,6
114,1
115,58
116,268
117,182
118,22
119,86
120,431
121,287
122,152
123,222
124,627
