query,build_time,solve_time,objective
1,2631767.888888889,2851723.0,22.880450000006
2,2617548.3333333335,3306504.5555555555,25.872099999994
3,1454574.111111111,1907896.2222222222,28.5034
4,2749653.888888889,3054418.6666666665,23.827352173913
5,2701765.5555555555,2236124.4444444445,26.4106
6,2686754.888888889,3888183.111111111,28.957066666666996
7,5587282.111111111,7389550.777777778,37.628710555556
8,5496976.888888889,6702107.0,30.54910000001
9,7039779.555555556,9660273.222222222,30.549099999999996
10,6640000.333333333,8446982.111111112,27.05705
11,6712814.666666667,10436447.0,28.852533333333
12,6722485.222222222,6938422.333333333,28.146266666667
13,8401756.888888888,8837994.444444444,28.146266666668
14,6915170.444444444,6427931.0,30.324788888889
15,7642978.111111111,8570040.222222222,36.918666666667
16,5777221.777777778,9561324.555555556,37.954563333333
17,5178623.0,7014815.0,33.222966666667
18,6455992.111111111,7488024.111111111,31.354645238095
19,10797708.444444444,12938752.777777778,38.7651
20,11674635.111111112,18771843.777777776,29.810050000000004
21,7583548.888888889,8296240.666666667,38.3842875
22,12643611.888888888,15605644.444444444,35.197416666666
23,13733078.444444444,16177922.222222222,34.335016666667
24,14313170.666666666,21358536.222222224,47.1169675
25,7724330.111111111,10018452.333333334,38.287849425287
26,15615146.777777778,26939498.555555556,31.562368
27,14217232.666666666,15940887.111111112,39.384287499995
28,22466422.555555556,31348946.0,36.197416666667
29,14012349.555555556,19369672.444444444,39.287849425287
30,4094328.0,6212523.444444444,23.167366666667
