QueryID,lpbound_without_fkpk,lpbound_InferenceTime
1,79851.00000000033,
2,14309901.204419225,
3,8151020.284583402,
4,13025447.045562401,
5,20479330.18707491,
6,872890.287061326,
7,106318061.09202673,
8,59603177.731445216,
9,1208624.8946448064,
10,5078569.047100331,
11,7826493.03433004,
12,334206753.7134527,
13,32725864.28291057,
14,1248166.3008377529,
15,14309901.20441926,
16,14309901.20441926,
17,424352.0000000009,
18,116366.58885783135,
19,11102.00000000014,
20,300839.0000000031,
21,34789.00000000007,
22,6810642.037798442,
23,2177432.3931766497,
24,56850.423709942675,
25,3978040.6135357516,
26,189237.53416737352,
27,540707962.5469937,
28,69938500.06531835,
29,15745209.381850934,
30,633648677.1744444,
31,216744806.81129107,
32,160849331147.77094,
33,6728116937.747863,
34,1799147184.8449733,
35,211523774.11589777,
36,211523774.11589777,
37,91431576.31495911,
38,1811637575.5126915,
39,29477029582.84057,
40,4644816.000000034,
41,2085634.385655212,
42,2595134.2597584464,
43,518641999.21966136,
44,962261213.7241364,
45,1506979975.3427353,
46,87037798.44298956,
47,7291996279.549113,
48,104211011443.61955,
49,71604549606.49203,
50,136446463678.61635,
51,4248904886949.7764,
52,7164339738043.715,
53,62792202.34017243,
54,42163799.70355777,
55,1980945464.000001,
56,193504512.00000107,
57,7881503.999999975,
58,15531827316096.285,
59,1611699431014.116,
60,6747910549.59445,
61,3861442965.811357,
62,930809639.4433856,
63,70135426.42245294,
64,841970904.9295086,
65,388201745.644309,
66,1698887.5396095833,
67,48114883.25674984,
68,156296981401.60422,
69,122702763593.18414,
70,96044074555.61934,
71,3081990515.6470127,
72,10973781850.991966,
73,3209602167.155528,
74,7969027572.950593,
75,6732006676.4883585,
76,334679745.159955,
77,2214075789.028189,
78,66493248.170820005,
79,4918586502.509617,
80,12970171.439657276,
81,3394950.3490658095,
82,334206753.7134527,
83,334206753.7134527,
84,32725864.28291057,
85,32725864.28291057,
86,1851220.877313404,
87,22867426.881261744,
88,14309901.20441926,
89,69925554.26867843,
90,4972028.345257624,
91,69933111.28140904,
92,303187.000000002,
93,6232948.894892721,
94,6844490.8683706345,
95,22773771.24698922,
96,14443840.16409973,
97,1649625395.9868565,
98,4738142620.332917,
99,2965054990.03493,
100,2265966.069357843,
101,1851220.8773134132,
102,26437850.246268846,
103,218003219.09098083,
104,160849331147.77094,
105,101350466648.81017,
106,31859229225.251774,
107,1770899040.4094574,
108,1799147184.8449733,
109,77220191.5126331,
110,77220191.5126331,
111,87037798.44298956,
112,87037798.44298956,
113,99343437170.80531,
114,19612483353.44576,
115,98433625947.49461,
116,9211707044.482162,
117,2025421.2711342222,
118,2584968.340342948,
119,1181310882.917154,
120,18188469006.781704,
121,203966007.02062982,
122,16971999954.925589,
123,1000139287.7243236,
124,7645135761.217649,
125,216791888.24465492,
126,7645135761.217649,
127,49333786.87257064,
128,87037798.44298956,
129,61683570.39908022,
130,2541258.4910411737,
131,133062034405.08298,
132,284012722602.1,
133,2388312752540.0454,
134,4009989547889.2354,
135,310595173196.46185,
136,7138660708925.023,
137,41777985.78372784,
138,192655808.00000077,
139,6679675736.1222,
140,122501820988.69179,
141,145312541149.87677,
142,131314887518.61856,
143,87856597851.74954,
144,7978756738.343998,
145,59048271.10935224,
146,91248235.90262327,
