query_id,lpbound_partial,cardinality
1,6358.783080231108,1
2,361.00000000000074,1
3,6358.783080231108,1
4,361.00000000000074,1
5,663948.1409146412,1
6,164020542.43111855,1
7,38864348.52736662,1
8,270608197.4085379,1
9,1855908.0000000037,1
10,475877.99999999825,1
11,2993112.0000000326,1
12,26044198.19381148,1
13,12652051.835903393,1
14,34023408.42973843,1
15,10039560.773017222,1
16,434318.2576304162,1
17,431749.4352629082,1
18,12206834.872381724,1
19,378875570.9478081,1
20,12290212.999999985,1
21,1162163.000000008,1
22,34065475.99999982,1
23,32912278.935953707,1
24,13196639.115977071,1
25,2210522.7446151823,1
26,22625714.299047735,1
27,19391738.87086058,1
28,37343527.47569549,1
29,21224136.946200106,1
30,106032713.0777361,1
31,106417.41112638408,1
32,106417.41112638408,1
33,61014689.38009559,1
34,1484433.959466616,1
35,2189.054457646744,1
36,3126654.0780810565,1
37,6373179.397437182,1
38,2345153.2813023655,1
39,10847139.771705195,1
40,7440006.828502813,1
41,1262860614.7180278,1
42,1071172063.7111934,1
43,1262860614.7180278,1
44,90050209.79103208,1
45,12100691.95396575,1
46,46684279.72144581,1
47,66989793.11290258,1
48,378183248.27477556,1
49,594216778.7289482,1
50,540752852.4593352,1
51,315562701.30411994,1
52,285868345.6847324,1
53,22671695.822818667,1
54,20072124.956200093,1
55,22671695.822818667,1
56,137871528.7483511,1
57,137871528.7483511,1
58,44651829630.05986,1
59,549566935.9547914,1
60,105894404421.14725,1
61,2598880252.4266267,1
62,560301166.5523857,1
63,285868345.6847345,1
64,223709376.46108413,1
65,2669965.0742497086,1
66,186328025.45340124,1
67,137871528.7483504,1
68,196157751.6856804,1
69,173154896.97144958,1
70,2070898940.122439,1
