query_id,lpbound_no_prefix,cardinality
1,79850.99999999994,1
2,14350378.17063793,1
3,8151020.284583422,1
4,13025447.045562498,1
5,20479330.18707486,1
6,872890.2870613238,1
7,106318061.092027,1
8,59603177.731446534,1
9,1201869.9907843848,1
10,5143435.58823552,1
11,876079.6001551436,1
12,2079408.5662808088,1
13,3005078.7935999357,1
14,25736.09298242448,1
15,14350378.17063793,1
16,596976.4882329012,1
17,424351.9999999988,1
18,125493.70405478597,1
19,11102.000000000085,1
20,300837.00000000047,1
21,34789.00000000012,1
22,6810642.037798408,1
23,519266.8725093421,1
24,20016.61331127523,1
25,4019229.1361565646,1
26,190936.0300451735,1
27,2385101.6980194086,1
28,55637621.36320432,1
29,2751544.171266985,1
30,633702857.31353,1
31,216744806.81129375,1
32,484173659.2659678,1
33,1308411.1172188588,1
34,1799151729.220331,1
35,84273166.51592278,1
36,1866533.21212147,1
37,94646849.16568922,1
38,1811637575.5126827,1
39,514712701.35578173,1
40,268237.791359416,1
41,44616.23404714986,1
42,1590707.246098846,1
43,129288821.5293584,1
44,26390953.429054078,1
45,119093.3492384232,1
46,6043102.977870147,1
47,7293918919.698184,1
48,9107684.768457808,1
49,6757396413.97786,1
50,127091602.79095577,1
51,105797906829.2807,1
52,7672220236.51533,1
53,52635747.117639475,1
54,3733311.5117158596,1
55,32179965.5772682,1
56,193504512.0000006,1
57,7881504.0000000335,1
58,15390527139648.04,1
59,82549097751.77408,1
60,6768043246.848103,1
61,407071648.49342525,1
62,77637351.80574705,1
63,64224334.39192067,1
64,113562191.99215649,1
65,41433075.24442144,1
66,1482865.813924035,1
67,1464286.3649154976,1
68,156835613559.05637,1
69,50174531085.01948,1
70,19473196896.554806,1
71,3082767024.2403736,1
72,11191866887.426188,1
73,2048491603.6237912,1
74,3684606035.605445,1
75,462876435.36250657,1
76,23077708.967565987,1
77,1421477417.4614954,1
78,43931728.77963945,1
79,1091876614.989883,1
80,12970171.439657245,1
81,3394950.3490658095,1
82,8509743.514493618,1
83,30882218.46972711,1
84,32726262.672276672,1
85,32721522.60869885,1
86,1203291.7077782932,1
87,1232465.286667339,1
88,14350378.17063793,1
89,1879214.973723074,1
90,4972857.759729221,1
91,69933111.28140904,1
92,254829.77266010467,1
93,6232948.89489266,1
94,6847656.693673524,1
95,22798200.03356553,1
96,14443840.164099766,1
97,1649645477.754912,1
98,4738200300.265166,1
99,85778307.01506786,1
100,1025744.5437226358,1
101,1179530.3485082584,1
102,15918993.636172384,1
103,27361379.518737104,1
104,357021160.45553684,1
105,101350466651.7008,1
106,36553818.30014205,1
107,1770899040.4094574,1
108,1799151729.220331,1
109,79761301.57293046,1
110,79761301.57293046,1
111,89230486.71914747,1
112,89320587.28043522,1
113,101142897.2221446,1
114,295447984.32546335,1
115,194118459.51103038,1
116,5202061530.621277,1
117,1557971.151174568,1
118,1335453.353873834,1
119,1181311354.565351,1
120,18188469006.781704,1
121,203983447.13693956,1
122,16973452388.852892,1
123,1000317958.9158249,1
124,92693061.11350246,1
125,4604997.28353223,1
126,7645790018.499558,1
127,32191400.640827045,1
128,6043102.977870147,1
129,50092339.21179618,1
130,1404186.0450663602,1
131,132077676584.32497,1
132,1057522087.5678426,1
133,475646694.1980565,1
134,73814147.94421723,1
135,310603585462.0441,1
136,4763213661.795002,1
137,17710129.21794574,1
138,192655808.0000003,1
139,1031899303.6572272,1
140,38946393793.10981,1
141,60913464599.92802,1
142,76693083517.93465,1
143,54688410566.98511,1
144,5397994795.588482,1
145,46406309.31874899,1
146,86090341.63955416,1
